key	linga	base	pratyaya	head_segment	lnum	page
akarttavya	tri0	kf	karmmAdO tavya na0 ta0	akarttavya tri0 kf — karmmAdO tavya na0 ta0 . karaRAnarhe nizidDe padArTe . BAve kta na0 ba0 . kriyASUnye kUwasTe cEtanye na0 . “ na me pArTAsti karttavyaM trizu lokezu kiYcaneti ” gItAyAmISvarasya sa	56	0038,b
akarttf				akarttf tri0 karttf + na0 ta0 . karttfBinne karttfsadfSe kArake [Page0039-a+ 38] “ akarttari ca kArake ” pA0 . kartfBinne, kriyASUnye ca “ puruzo'karttA BoktA ” ceti sAMKyamatam .	57	0038,b
akarmmaka				akarmmaka tri0 nAsti karmma yasya ba0 kap . vyAkaraRokte karmmaSUnye DAtO, “ laH karmmaRi ca BAve cAkarmmakeBya iti ” pA0 . “ PalavyApArayorekanizWatAyAmakarmmaka iti ” hariH . striyAM wApi kApi ata i	58	0039,a
akarmmaRya				akarmmaRya tri0 na karmmaRe praBavati karmman + yat na0 ta0 . karmmAnarhe “ akarmmaRyaM tiTimalaM vidyAdekAdaSIM vineti ” ti0 ta0 .	59	0039,a
akarmman				akarmman anupalamBAdivat arTABAve na0 ta0 . karmmABAve “ karmmaRohyapi bodDavyaM bodDavyaYca vikarmmaRaH . aka- rmmaRaSca bodDavyaM gahanA karmmaRogatiriti ” gItA aka- rmmaRaH akriyAyA iti tadBAzyam .	60	0039,a
akala				akala pu0 nAsti kalA'vayavo'sya . niraMSe paramAtmani “ cinmayasyAdvitIyasya nizkalasye ” tyuktestasya taTAtvam . gItAdikalASUnye, avayavaSUnye ca tri0 .	61	0039,a
akalkana				akalkana tri0 kalkanaM damBaH na0 ba0 . damBarahite “ akalkano nirAramBaH ” iti gItA . vEdyakoktOzaDapAkaviSezaH kalkanaM, tacCUnye ca . nAsti kalko'sya ba0 kap . akalkako'- pyatra . ata eva gItAyAmak	62	0039,a
akalkA				akalkA strI0 na kalkaH maloyasya na0 ba0 . nirmalatvena SuBrAyAM jyotsnAyAm . malAdiSUnye tri0 .	63	0039,a
akalya				akalya tri0 kalAsu sADuH kalA + yat kalyaH nirAmayaH na0 ta0 . asvAsTyavati . kalyate iti kala — yat kalyaM kalpanIyaM miTyABUtaM na0 ta0 . satye “ api tvanInayadapa- nItASezaSalyamakalyasanDa iti daS	64	0039,a
akavA	tri0	na kavyate varRyate kava	A na0 ta0	akavA tri0 na kavyate varRyate kava — A na0 ta0 . avarRRanIye “ pra prajAyante akavA mahoBiriti ” vedaH .	65	0039,a
akasmAt				akasmAt avya0 na kasmAt kiYcitkAraRADInatvaM yatra aluk sa0 . kAraRAnaDIne atarkitopanate . “ kaTamaya- makasmAdgaganacAriRAmAkASe karuRaDvaniH SrUyate ” iti nAwakam “ sAmAnyalakzaRA kasmAdakasmAt par	66	0039,a
akARqa				akARqa tri0 na0 ta0 . anavasare anucitakAle “ tAtasta- makARqe eva prARaharapratIkAramupaplavamiti ” kAda0 . asya ni0 etadantatvamiti kecit . ba0 . skanDaSUnye vfkze pu0 .	67	0039,b
akAma				akAma tri0 na kAmayate kAma — RiN — ac . icCASUnye “ nAkAmo dAtumarhatIti ” smftiH . kAmanAvizayaPalAnanu- sanDAyini . “ akAmo vizRukAmoveti ” smftiH smara- vikAraSUnye ca . “ BayAdakAmA'pihi dfzwiviB	68	0039,b
akAmatas				akAmatas a0 akAma + paYcamyAstasil . anicCAta ityarTe “ akAmataH kAmacAre cOravaddaRqamarhatIti ” smftiH .	69	0039,b
akAya				akAya pu0 nAsti kAyo'sya . kAyaSUnye rAhO tasya cAmftA- haraRakAle vizRunA cCinnamastakatve'pi amftaprASanena amara- RamityanusanDeyam . “ amftAsvAdanaviSezAcCinnamapi SiraH kilAsurasyedam . prARErapa	70	0039,b
akAra				akAra pu0 a + svarUpArTe kAra . asvarUpe varRe evamikArA- dayo'pi tattadvarRasvarUpezu . kAraH karaRaMna0 ba0 . kriyA- rahite tri0 .	71	0039,b
akAraRa				akAraRa tri0 nAsti kAraRaM heturuddeSyaM vA yasya . hetu- rahite uddeSyarahite ca “ kimakAraRameva darSanaM vilapantyE- rataye na dIyate ” iti kumA0 “ tato'kAraRavErI naH “ kAraRAdapare pare iti ” nEz	72	0039,b
akArin	tri0	kf	Rini na0 ta0	akArin tri0 kf — Rini na0 ta0 . karttfBinne, karaRAnnivftte ca .	73	0039,b
akArpaRya				akArpaRya tri0 nAsti kArparRyaM yasya . dEnyaSUnye, kfpaRatA- SUnye ca .	74	0039,b
akAryya				akAryya na0 apraSastaM kAryyam aprASastye na0 ta0 . kutsitakAryye nizidDakAryye ca . “ akAryyamiva paSyAmi svamAMsamiva Bojane ” . “ kimakAryyaM kadaryyARAmiti ” hito0 . karttavyaBinne tri0 .	75	0039,b
akAla				akAla pu0 aprASastye na0 ta0 . apraSastakAle vihitakarmmasu paryyudastayA'Bihite guruSukrAdyastakAlAdO, sa ca malamAsa, guruSukrabAlyavfdDatvAstamaya, siMhamakarAnyataragurusTiti, pUrvva- rASyanAgatAt	76	0039,b
akiYcana				akiYcana tri0 nAsti kiYcana yasya mayUra0 ta0 . nirDane, “ akiYcanaH san praBavaH sa sampadA ” miti kumA0 . daridre, “ akiYcane kiYcananAyikANgake kimArakUwABaraRena na Sriya ” iti nEzaDam .	77	0040,a
akiYcanatA				akiYcanatA strI0 akiYcanasya BAvaH tal . saMnyAsANge sarvva- dravyatyAgarUpe yamaviSeze “ vrataM dAnaM parivrajyA tapasyA niyamasTitiH . ahiMsA'sUyatAsteyabrahmAkiYcanatA yama ” iti smftiH brahma veda	78	0040,a
akiYcijjYa	tri0	na kiYcit jAnAti jYA	ka aSrAdDa- BojItivat asamarTasa0	akiYcijjYa tri0 na kiYcit jAnAti jYA — ka aSrAdDa- BojItivat asamarTasa0 . kiYcidanaBijYe, kiYcidjYAna- SUnye, alpajYAne, jYAnaSUnye ca .	79	0040,a
akiYcitkara	tri0	na kiYcit karoti kf	ac asamarTa sa0	akiYcitkara tri0 na kiYcit karoti kf — ac asamarTa sa0 . kiYcidakArake kriyASUnye, nizprayojane ca .	80	0040,a
akuRWa				akuRWa tri0 nAsti kuRWA yasya . pratibanDaSUnye, karmma dakze ca .	81	0040,a
akutoBaya				akutoBaya tri0 nAsti kuto'pi BayaM yasya mayU0 sa0 . kuta- Scidapi BayaSUnye .	82	0040,a
akupya				akupya na0 gupyate nisvatAvyaYjakatayA — lajjAkaratvAt gupa — kyap ni0 gasya kaH kupyaM rEtyAdi na0 ta0 . svarRe, rUpye ca .	83	0040,b
akumAra				akumAra tri0 na kumAraH . atItakOmArAvasTe taruRe .	84	0040,b
akula				akula tri0 apraSastaM kulamasya na0 ba0 . apraSastakule “ kulAnyakulatAM yAtIti ” manuH .	85	0040,b
akuSala				akuSala tri0 na kuSalaM maNgalamasya . maNgalaviroDyamaNgalayukte . na0 ta0 . kuSalaviroDini aBadre na0 . dakzaBinne tri0 .	86	0040,b
akUpAra	pu0	na kUpamfcCati f	aR	akUpAra pu0 na kUpamfcCati f — aR . bfhatkacCape . na kuM pfTvIM pipUrtti pf — pAlanapUraRayoH aR bA0 dIrGaH, na kut- sitaM pAraM gantavyadeSo yasya vA, pf0 dIrGaH . mahApAre samudre, dUragAmini sUryy	87	0040,b
akfta	tri0	kf	karmmaRi kta na0 ta0	akfta tri0 kf — karmmaRi kta na0 ta0 . kftaBinne anyaTAkfte . “ kftAkftAvekzaRAdO brahmA ftvik niyujyate ” iti yAjYika- prasidDiH . “ akftavyUhAH pARinIyA ” iti pariBAzA . na kfto vyUhaH viSezeRa Uhoy	88	0040,b
akftajYa	tri0	na kftaM jAnAti jYA	ka asama0 sa0	akftajYa tri0 na kftaM jAnAti jYA — ka asama0 sa0 . kftopakArAsmArake, kftaGne, “ AtmArAmAH pUrRakAmAH akftajYA gurudruha ” iti BAgavatam .	89	0040,b
akftin				akftin tri0 kftamanena kfta + ini na0 ta0 . kAryyAkzame kriyAsu pAwavarahite .	90	0040,b
