key	linga	base	pratyaya	head_segment	lnum	page
Karapa	pu0	KaraM pibati pA	ka	Karapa pu0 KaraM pibati pA — ka . 1 FziBede tato naqAdi0 gotrApatye Pak . KArapAyaRa tadgotrApatye puMstrI0 . bahuzu tasya yAskA0 luk . KarapAstadgotrApatyezu .	16425	2467,b
Karapatra				Karapatra pu0 KaraM patramasya . 1 SAkavfkze (meguna) 2 kzudratulasa .. vfkze ca ratnamA0 . 3 yAvanAlaSare 4 maruvake 5 haridarme ca rAjani0 . vA kap . Karapatraka . tilakavfkze Sabdaca0 .	16426	2467,b
KarapatrI				KarapatrI strI KarapatramasyAH gO0 NIz . 1 gojihvAvfkze 2 kAkodambarikAyAYca rAjani0 .	16427	2467,b
KarapAtra				KarapAtra na0 KaraM pAtram karma0 . lOhapAtre trikA0 .	16428	2467,b
KarapAdAQya				KarapAdAQya pu0 KarEH pAdErBflErAdyaH . kapitTadrume Sabdaca0	16429	2467,b
Karapuzpa				Karapuzpa pu0 KaraM puzpamasya . maruvake ratnamA0 .	16430	2467,b
KarapuzpA				KarapuzpA(zpI) strI KarARi puzpARyasyAH vA NIp . varvarA- SAke (vAvui tulasI) amaraH .	16431	2467,b
KarapuzpI				KarapuzpA(zpI) strI KarARi puzpARyasyAH vA NIp . varvarA- SAke (vAvui tulasI) amaraH .	16431.1	2467,b
Karapriya				Karapriya puMstrI Kalo DAnyAdimarddanasTAnaM priyo'sya lasyaraH . pArAvate SabdamA0 striyAM jAtitve'pi yopaDatvAt wAp .	16432	2467,b
Karamajra	pu0	KaraM majjayati masja	ra	Karamajra pu0 KaraM majjayati masja — ra . atyantaSoDake . KarajruSabde udA0 .	16433	2467,b
KaramaYjarI				KaramaYja(ri)rI strI KarA maYjarI yasyAH samAsAntaviDera- nityatvAt na kap hrasvaH vA NIp . apAmArge amaraH . tatra hrasvAnte “ palASapuzpe KaramaYjarervA ” “ PalAni SigroH KaramaYjarervA ” . “ Karama	16434	2467,b
KaramaYjari				KaramaYja(ri)rI strI KarA maYjarI yasyAH samAsAntaviDera- nityatvAt na kap hrasvaH vA NIp . apAmArge amaraH . tatra hrasvAnte “ palASapuzpe KaramaYjarervA ” “ PalAni SigroH KaramaYjarervA ” . “ Karama	16434.1	2467,b
Kararoman				Kararoman tri0 KaraM romA'sya . kaWinarImayukte striyAM vA qAp . KararomatvaM garddaBahatyAkarmavipAkaH yaTAha SAtA0 “ Kare vinihate cEva KararomA prajAyate ” iti . 2 nAgamede pu0 jawA0 .	16435	2467,b
KaravallikA				KaravallikA strI KarA vallI sEva svArTe ka . nAgavallyAm kABAve KaravallItyapyatra ratnama0	16436	2467,b
KaraSabda				KaraSabda pu0 Kara ugraH Sabdo'sya . 1 kuraraKage . 6 ta0 . 2 garddaBaSabde pu0 . karma0 . 3 ugraSabde pu0 .	16437	2467,b
KaraSAka				KaraSAka pu0 KaraM SAkamasya . (vAmanahAwi) BArgyAm . BAvapra0 .	16438	2468,a
KaraSAla				KaraSAla na0 KarARAM SAlA napu0 . garddamagfhe . Sabdaci0 tatra jAtArTasya luk . KaraSAla . tatra Bave tri0 .	16439	2468,a
Karasoni	strI	Ke AkASe rasamUnayati Uni	in	Karasoni strI Ke AkASe rasamUnayati Uni — in . lo- hikAlatAyAM hArA0 .	16440	2468,a
Karasonda				Karasonda pu0 KaM SUnyaBUtaH rasondaH rasakledanamatra . KarapAtre lOhapAtre trikA0 .	16441	2468,a
KaraskanDa				KaraskanDa pu0 KaraH skanDo'sya . 1 priyAladrume . 2 KarjUryyAM strI wAp . rAjani0 .	16442	2468,a
KarasvarA	strI	KaraM svarati upatApayati svF	ac	KarasvarA strI KaraM svarati upatApayati svF — ac . vanamallikAyAM ratnamA0 .	16443	2468,a
KarA	strI	KamAkASaM lAti lA	ka lasya raH	KarA strI KamAkASaM lAti lA — ka lasya raH . devatAqavfkze amaraH .	16444	2468,a
KarAgarI	strI	KaramAgirati A + gF	ac gOrA0 NIz	KarAgarI strI KaramAgirati A + gF — ac gOrA0 NIz . devatAqavfkze rAyamukuwaH .	16445	2468,a
KarAbdANkuraka				KarAbdANkuraka na0 KarAbdAt tIvragarjanameGAt aNkurayati aNkuri — Rvul . vEdUryyamaRO rAjani0 tamya navameGa- SabdAt jAyamAnANkuratvAttaTAtvam .	16446	2468,a
KarASvA	strI	KareraSyate Bujyate aSa	Bojane bA0 va	KarASvA strI KareraSyate Bujyate aSa — Bojane bA0 va . mayU- raSiKAyAm (rudrajawAlatA) amaraH .	16447	2468,a
KarAhvA	strI	KaraM tIvraM ganDamAhvayati A + hve	ka	KarAhvA strI KaraM tIvraM ganDamAhvayati A + hve — ka . aja- modAyAm rAjani0 .	16448	2468,a
KarikA	strI	KaM rAti rA	ka saMjYAyAM kan ata ittvam	KarikA strI KaM rAti rA — ka saMjYAyAM kan ata ittvam . cUrRRAkftikastUrIBede rAjani0 .	16449	2468,a
KarIjaNGa				KarIjaNGa pu0 KaryyA garddaByA iva jaNGA yasya . 1 fziBede 2 Sive pu0 . tato'patye iY . KArIjaNGi tadapatye puMstrI0 tatodvandve advandve ca bahuzu tasya luk . KarojaNGAsta- muzyapatyezu .	16450	2468,a
Karu	pu0	Kana	ku raScAntAdeSaH	Karu pu0 Kana — ku raScAntAdeSaH . 1 Sive 2 darpe, 3 aSve, 4 datte, medi0 5 kAmadeve uRA0 . 6 SvetavarRe 7 SvetavarRavati, 8 nizidDEkarucO, hema0 . 9 nirboDe, 10 krUre tri0 uRA0 vf0 11 patiM varAyAM k	16451	2468,a
Karja				Karja vyayAyAM BvA0 aka0 para0 sew . Karjjati . aKarjjIt . caKarjja .	16452	2468,a
Karjjana	na0	Karja	lyu	Karjjana na0 Karja — lyu . kaRqUyane .	16453	2468,a
KarjikA	strI	Karjja	Rvul ata ittvam	KarjikA strI Karjja — Rvul ata ittvam . upadaMSaroge Sabdaca0 .	16454	2468,a
Karju	pu0	Karja	un	Karju pu0 Karja — un . 1 kaRqUBede (culakAni) 2 KarjUrIvfkze 3 kIwaBede ca hemaca0 .	16455	2468,a
Karjjura	na0	Karja	urac	Karjjura na0 Karja — urac . rOpye ratnamA0 .	16456	2468,a
KarjjU	strI	Karjja	kU	KarjjU strI Karjja — kU . 1 kaRqUBede (culakAni) 2 kIwaBede uRAdiko 10 .	16457	2468,a
KarjjUGna				Ka(rju)rjjUGna Ka(rjju)rjjUGna pu0 KarjjuM(rjjUm)kaRqUyanaM hanti hana — waka . [Page2468-b+ 38] 1 cAkamardde, (dAdamarddana) 2 arkadrume ca rAjani0 .	16458	2468,a
KarjjuGna				Ka(rju)rjjUGna Ka(rjju)rjjUGna pu0 KarjjuM(rjjUm)kaRqUyanaM hanti hana — waka . [Page2468-b+ 38] 1 cAkamardde, (dAdamarddana) 2 arkadrume ca rAjani0 .	16458.1	2468,a
KarjjUra				KarjjUra puMstrI Karjja Urac strItve gOrA0 NIz . (Kejura) vfkze tasya Palam aR tasya lup . tatPale na0 udBedaguRASca BAvapra0 uktAH yaTA “ BUmiKarjjUrikA svAdvI durArohA mfducCadA . taTA skanDaPalA kA	16459	2468,b
KarjjUraveDa				KarjjUraveDa pu0 ekArgalAparaparyyAye vivAhe varjjanIya- yogaBede upayamaSabde 1266 pf0 vivftiH .	16460	2468,b
Kardda				Kardda daMSane BvA0 para0 saka0 sew . Karddati aKarddIt . caKardda .	16461	2468,b
Karpara				Karpara pu0 karparaSabdavat pfzo0 Katvam . 1 taskare, 2 DUrtte, 3 BikzApAtre kapAle 4 BinnamfRmayaKaRqe ca medi0 5 upaDAtuBede, tutTAYjane (tu~te) ca na0 Sabdaca0 .	16462	2468,b
KarparI				KarparI strI KarparaM upaDAtuBedaH kAraRatvenAstyasya ac gOrA0 NIz . KarparItutTe amaraH . Wan KarparikApyatra .	16463	2468,b
KarparItutTa				KarparItutTa na0 karma0 . tutTaBede (tu~ te) rAjani0 tatpAkaprakAra guRAH BAvapra0 uktA yaTA . “ naramUtreRa gomUtre saptAhaM rasakaM (pAradam) pacet . dolAyantreRa SudDaH syAt tataH kAyezu yojayet . 	16464	2468,b
Karba				Karba(rva) gatO BvA0 para0 saka0 sew . Ka(rba)rvati aKa- rbI(rvI)t . caKa(rba)rva . gatiratra nIcatagatiH Karba- SabdadarSanAt . antyasTAntyastu garve iti BedaH .	16465	2468,b
Karva				Karba(rva) gatO BvA0 para0 saka0 sew . Ka(rba)rvati aKa- rbI(rvI)t . caKa(rba)rva . gatiratra nIcatagatiH Karba- SabdadarSanAt . antyasTAntyastu garve iti BedaH .	16465.1	2468,b
Karva	pu0	Karva	garve ac	Karva(rba) pu0 Karva — garve ac . 1 kuveraniviSezi SabdaratnA0 . 2 kubjaka vfkze antyasTamaDyaH rAjani0 tasya ganDasyota- [Page2469-a+ 38] kawatayA garvahetutvAt taTAtvam . Karba — gatO ac . vargya- m	16466	2468,b
Karba	pu0	Karva	garve ac	Karva(rba) pu0 Karva — garve ac . 1 kuveraniviSezi SabdaratnA0 . 2 kubjaka vfkze antyasTamaDyaH rAjani0 tasya ganDasyota- [Page2469-a+ 38] kawatayA garvahetutvAt taTAtvam . Karba — gatO ac . vargya- m	16466.1	2468,b
Karbawa	pu0	Karba(rva)	awan	Karba(rva)wa pu0 Karba(rva) — awan . “ ekato yatra tu grAmo nagaraM cEkataH sTitam . miSraM tu Karba(rba)wonAma nadI girisamAkulaH ” BAga0 wIkAyAM SrIDarokte grAmaBede .	16467	2469,a
Karvawa	pu0	Karba(rva)	awan	Karba(rva)wa pu0 Karba(rva) — awan . “ ekato yatra tu grAmo nagaraM cEkataH sTitam . miSraM tu Karba(rba)wonAma nadI girisamAkulaH ” BAga0 wIkAyAM SrIDarokte grAmaBede .	16467.1	2469,a
KarbaSAKa				KarbaSAKa tri0 KarbASAKA tattulyasya hastapadAdayo'sya . vAmane hema0 .	16468	2469,a
Karbita	tri0	Karba	nIcagatO karttari kta	Karbita tri0 Karba — nIcagatO karttari kta . hrasve striyAM wAp . sAca amAvAsyABede, “ saMmiSrayeccaturddaSyA amA- vAsyA Bavet kvacit . KarbitAM tAM viduH kecidgatADvA- miti cApare ” karmapradI0 pUrva	16469	2469,a
KarvurA				KarvurA strI Karba urac . taradIvfkze rAjani0 .	16470	2469,a
Karbuja	na0	Karbu(rva)un taTA BUtA jAyate jana	qa	Karbu(rvu)ja na0 Karbu(rva)un taTA BUtA jAyate jana — qa . (Karamuja) latAPalaBede . tasya guRA BAvapra0 uktA “ Karbu(rvu)jaMmUtralaM balyaM kozWaSudDikaraNguru . snigDaM svAdUttaraM SItaM vfzyaM pitt	16471	2469,a
Karvuja	na0	Karbu(rva)un taTA BUtA jAyate jana	qa	Karbu(rvu)ja na0 Karbu(rva)un taTA BUtA jAyate jana — qa . (Karamuja) latAPalaBede . tasya guRA BAvapra0 uktA “ Karbu(rvu)jaMmUtralaM balyaM kozWaSudDikaraNguru . snigDaM svAdUttaraM SItaM vfzyaM pitt	16471.1	2469,a
Kala				Kala calane sKalane ca BvA0 para0 aka0 sew . Kalati aKAlIt Kalati praniKalati KalaH .	16472	2469,a
Kala		puMna0 Kala	ac ardDarcA0	Kala puMna0 Kala — ac ardDarcA0 . DAnyamarddanasTAne hema0 . (KAmAra) DAnyaKalaH goDUmaKalaH yavaKalaH . “ KalAt kzetrAdagArAdvA yatovApyupalaByate ” manuH . KalayajYaH KalekapotaH . “ Kale na parzAn 	16473	2469,a
Kalaka	pu0	Ka SUnyaM maDye lAti lA	ka saMjYAyAM kan	Kalaka pu0 Ka SUnyaM maDye lAti lA — ka saMjYAyAM kan . kumBe Sabdaca0 .	16474	2469,b
Kalakula	pu0	KalakO KalaBUmO lIyate lI	bA0 qa	Kalakula pu0 KalakO KalaBUmO lIyate lI — bA0 qa . kulatTa kalAye “ daSa grAmyARi DAnyAni Bavanti vrIhiyavAstila mAzA aRupriyaNgavo goDUmASca KalvAH KalakulASca ” vf0 u0 “ KalakulAH kulatTAH ” BA0 .	16475	2469,b
KalatA				KalatA strI Kasya latA . 1 AkASalatAyAm . Kalasya BAvaH tal . 1 durjanatve ca . “ anivAritatApasampadaM kulahInAM sumanoBirujJitAm . KalatAM KalatAmivAsatIM pratipa- dyeta kaTaM buDojanaH ” mAGaH . Ka	16476	2469,b
Kalati				Kalati pu0 sKalanti keSAH asmAt BImA0 apAdAne ati pfzo0 . (wAka) 1 indraluptaroge tacCabde vivftiH . 2 tadvati tri0 striyAM vA NIp . tadrogayuktaparatve kaqA0 karmaDA0 parani0 . yuvaKalatiH KalatiyuvA	16477	2469,b
Kalatika	pu0	Kalatiriva kAyati kE	ka	Kalatika pu0 Kalatiriva kAyati kE — ka . parvate “ Kalati- kAdizu vacanam ” vArtti0 . KalatikaH parvatastatra BavAni KalatikaM vanAni ” bahutve'pi ekavacanam si0 kO0 .	16478	2469,b
KalaDAna	pu0	KalAH KaqA DIyate'smit DA	ADAre lyuw	KalaDAna pu0 KalAH KaqA DIyate'smit DA — ADAre lyuw . (KAmAra) KyAte KalapadArTe hemaca0 .	16479	2469,b
KalapU	tri0	KalaM BUmiM punAti pU	kvip	KalapU tri0 KalaM BUmiM punAti pU — kvip . sTAnaSoDana kAriRi (ParAsa) . amaraH .	16480	2469,b
KalayajYa				KalayajYa pu0 Kale karttavyo yajYaH . Kale karttavye yajYaBede [Page2470-a+ 38] lAwyAyanaSrO0 sU0 4, 1, 25, sUtrAdO tasya vivftiH .	16481	2469,b
KalAjina				KalAjina na0 KalasTitamajinam . KalasTitacarmaRi tataH utkarA0 caturarTyAM Ca . KalAjinIya tatsannikfzwa- deSAdO tri0 .	16482	2470,a
KalAdi				KalAdi pu0 kA0 vArttikokte samUhArTe inipratyayanimitte SabdasamUhe sa ca gaRaH . Kala qAka kuwumba druma aNka go raTa kuRqala ” KalinI qAkinItyAdi tatsamUhe .	16483	2470,a
KalADArA				KalADArA strI Kala ADAro yasyAH . telApokA) “ tEla- pAyikAyAm ” jawADa0 .	16484	2470,a
Kali	strI	Kala	in	Kali strI Kala — in . (Kali) iti KyAte tElakiwwe rAjani0 vA0 NIp . “ sTAlyAM vEdUryyamayyAM pacati tila- KalIM candanE ranDanOvEH ” BArataratnA0 2 tAlamUle ratnamA0 .	16485	2470,a
Kalina				Kali(lI)na puM na0 Ke aSvamuKacCidre lInaM pfzo0 vA hrasvaH ardDarccAdi . aSvamuKasTAyAM kavikAyAM (kaqi- Ala) . hrasvamaDyaH iti rAyamukuwaH . “ uBayataH KalIna kanakakawakAvalagnAByAM padepade kftAk	16486	2470,a
KalIna				Kali(lI)na puM na0 Ke aSvamuKacCidre lInaM pfzo0 vA hrasvaH ardDarccAdi . aSvamuKasTAyAM kavikAyAM (kaqi- Ala) . hrasvamaDyaH iti rAyamukuwaH . “ uBayataH KalIna kanakakawakAvalagnAByAM padepade kftAk	16486.1	2470,a
KalivardDana				KalivardDana pu0 “ mArutenADikodanto jAyate tIvravedanaH . KalivardDanasaMjYo'sO jAyate ruk na SAmyati ” iti BAvapra0 ukte rugRadantaBede .	16487	2470,a
KaliSa	pu0	Ke AkASe jalAdUrdDaBAge liSati liSa	ka	KaliSa pu0 Ke AkASe jalAdUrdDaBAge liSati liSa — ka . (KalsA) matsyaBede SabdaratnA0 . tadguRASca “ KaliSastu matogrAhI kazAyo vAtakopanaH . rUkzo laGuH SUlaharaH kiYcidAmavinASanaH ” rAjavallaBaH . p	16488	2470,a
KalIkAra				KalIkAra pu0 Kala + aBUtatadBAve cvi — kf — BAve GaY . 1 apakAre jawADaraH . 2 Bartsane ca . KalIkfDAtostada- rTakatA'pi tena “ parokze KalIkfto'yaM dyUtakaraH “ KalIkriyate ” mfcCa0 KalIkriyate Barts	16489	2470,a
Kalu	avya0	Kala	un	Kalu avya0 Kala — un . nizeDe etadarTayoge DAtoHktvA “ nirdDArite'rTe leKena KalUktvA Kalu vAcikam ” mAGaH “ Kalviti 1 nizeDa 2 vAkyAlaNkAra 3 jijYAsA 4 'nunaya 5 niyamezu ” gaRaratnoktezu vAkyAlaNkAr	16490	2470,a
Kaluk				Kaluk pu0 Kami ndrayaM netravyApAraM luYcati luYca — apanaye kvip . anDakAre trikA0 .	16491	2470,b
Kalureza				Kalureza puMstrI Kalu rizyate baDyate'sO Kalu + riza — baDe karmaRi GaYa supsupeti sa0 . mfgaBede Sabdaca0 .	16492	2470,b
KalUrikA				KalUrikA strI avyutpanno'yam . SastrAByAse hemaca0 .	16493	2470,b
Kalekapota				Kalekapota pu0 ba0 va0 Kale patantaH kapotAH SA0 ta0 aluk sa0 . Kalepatatsu kapotezu . tattulyaH nyAyaH Kalekapota nyAyaH yaTA Kale kapotA yugapat patanti taTA paraspara- viSezyaviSezaRaBAvAnApannA ek	16494	2470,b
KaleDAnI	strI	Kale DIyante vfzaBA atra DA	ADAre lyuw NIp	KaleDAnI strI Kale DIyante vfzaBA atra DA — ADAre lyuw NIp . meDikAzWe jawADaraH . 2 DUlO hema0 .	16495	2470,b
Kaleyava				Kaleyava avya0 . Kale yavoyatra kAle tizwadgupra0 sa0 . Kale- sTitayavakAle .	16496	2470,b
KalevAlI				KalevAlI strI Kale vAlyante cAlyante vfzaBA yatra bala — cAlane ADAre GaY gOrA0 NIz . SasvamarddanaBUmimaDyasTe kAzWaBede (meikAWa) . “ KalevAlI yUpo lANgalezA ” kAtyA0 SrO0 22, 3, 48, KalamaDye niKAt	16497	2470,b
Kalevusa				Kalevusa avya0 Kale vusamatra kAle tizWadgu0 sa0 . KalesTita vusakAle	16498	2471,a
KaleSa				KaleSa pu0 strI Ke jalAdUrdDvAkASe liSati saMSlizyati gati- kAle liSa — ac 7 ta0 . (KalisA) matsyaBede hArA0 striyAM jAtitvAt NIz .	16499	2471,a
KaleSaya				KaleSaya pu0 strI KaleSaM jalAdUrdDvasTAkASasaMsargaM yAti yA — ka . (KaliSA) matsyaBede SabdaratnA0 . striyAM jAtitve'pi yopaDatvAt wAp .	16500	2471,a
KalyA				KalyA strI KalAnAM samUhaH yat . KalasamUhe amaraH (KAmAra samUha) .	16501	2471,a
Kalla	pu0	Kalati kvip Kal taM lAti lA	ka	Kalla pu0 Kalati kvip Kal taM lAti lA — ka . 1 vastraBede 2 gartte 3 carmmaRi 4 cAtakavihage pu0 strI0 medi0 . striyAM jAtitvAt NIz . 5 dftO carmmaBayapAtre (masaka) hema0 . 6 OzaDamarddanapAtre (Kala	16502	2471,a
KallikA				KallikA strI Kala — kvip taM lAti — lA — ka tataH saMjYAyAM kan kApi ata ittram . fjIze BarjanapAtre (BAjanAKolA) Sabdaca0 . SabdacintAmaRO ayaM vamaDyaH paWitaH tatra vAteH ka iti BedaH	16503	2471,a
KallI				KallI strI Kala — kvip taM lAti lA — ka gOrA0 NIz . “ KallI tu pAdajaNGorukaramUlAvamowanI ” iti BAvapra- kASokte rogaBede .	16504	2471,a
KallIwa	pu0	KallIva walati wala	viklave bA0 qa	KallIwa pu0 KallIva walati wala — viklave bA0 qa . 1 Kalati- roge 2 tadvati tri0 trikA0 pfzo0 hrasvaH Kalliwo'pyatra SabdaratnA0 . “ KallIwaH paranindAvAn DenuM dadyAt sakAYcanAm ” SAtAtapena tasya pa	16505	2471,a
Kalva				Kalva pu0 Kala — kvip taM vAti vA — ka . nizpAve grAmyaDAnya- Bede “ daSa grAmyARi DAnyAnItyupakrame “ KalvASca Kala- kulASca ” vf0 u0 . “ KalvAH nizpAbAH valvA iti prasidDAH ” SaNkaramADavO “ vrIhaya	16506	2471,a
KalvAwa				KalvAwa pu0 Kala — kvip taM vawate vezwayate vawa — vezwe aR upa0 sa0 . indraguptaroge (wAka) 2 tadrogavati tri0 hemaca0	16507	2471,a
Kava				Kava sampattipavitratayoH prAdurBAve, ca kyrA0 para0 aka0 sewa . [Page2471-b+ 38] avnAti aKAvIt aKavIt . caKAva . praniKavnAti .	16508	2471,a
KavallI				KavallI strI Ke SUnye vallI . mUlaSUnyAyAm 1 AkASavallyABa rAjani0 . KavalvarIKalatAdayo'pyatra 2 AkASalatAyAYca .	16509	2471,b
KavAri				KavAri na0 KAt patitaM vAri SA0 ta0 . divyodake rAjani0 KajalAdayo'pyatra .	16510	2471,b
KavAzpa				KavAzpa pu0 Kasya vAzpam . himajalakaRe (osa) hArA0 .	16511	2471,b
Kasa				Kasa(Sa) pu0 deSaBede trikA0 . tasya dantyamaDyatA manvAdO dfSyate kvacit tAlavyamaDyatA ca tenoBayarUpatA . sa ca deSaH vf0 sa0 kUrmmaviBAge 14 a0 pUrvasyAmuktaH “ aTa pUrvasyAmi- tyupakrame “ KaSama	16512	2471,b
KaSa				Kasa(Sa) pu0 deSaBede trikA0 . tasya dantyamaDyatA manvAdO dfSyate kvacit tAlavyamaDyatA ca tenoBayarUpatA . sa ca deSaH vf0 sa0 kUrmmaviBAge 14 a0 pUrvasyAmuktaH “ aTa pUrvasyAmi- tyupakrame “ KaSama	16512.1	2471,b
KaSIra				KaSIra pu0 1 deSaBede 2 taddeSavAsini 3 tannfpe ca bahuva0 . “ KaSIrAScAntacArASca pahnavA girigahvarAH ” BA0 A0 9 a0 uttarasTajanapadakaTane .	16513	2471,b
KaSewa		puMstrI KaM Sewati Siwa	anAdare aR	KaSewa puMstrI KaM Sewati Siwa — anAdare aR . (KalisA) matsye trikA0 tasya gatikAle KasyAnADAratvena gatiyogyatvABAve'pi tasya taTAtvAnAdareRa gamanAttaTAtvam	16514	2471,b
KaSvAsa				KaSvAsa pu0 Kasya SvAsa iva . vAyO trikA0 .	16515	2471,b
Kaza				Kaza baDe BvA0 para0 saka0 sew . Kazati aKAzIt — aKa- zIt . caKAza .	16516	2471,b
Kazpa	pu0	Kana	pa ni0 nasya zaH	Kazpa pu0 Kana — pa ni0 nasya zaH . 1 kroDe 2 balAtkAre ca . KazpO kroDavalAtkArO ” si0 kO0 ukteH Sabdaka- [Page2472-a+ 38] lpadrume tasya Sabdasya klIvatoktiH prAmAdikI .	16517	2471,b
Kasa	pu0	KAni indriyARi syati niScalIkaroti so	ka	Kasa pu0 KAni indriyARi syati niScalIkaroti so — ka . (Kosa) (pAcqA) KyAte 1 rogaBede . 2 deSaBede 3 sava- rRAyAM vrAtyakzatriyAjAte jAtiBede “ Jallo mallaSca rAja- nyAdvrAtyAnnicCivireva ca . nawaSca	16518	2472,a
Kasakanda				Kasakanda pu0 Kasa iva kando'sya . kzIrakaYcukIvfkze ratnamA0 . KasaganDa iti pAWAntare'pi taTArTatA . Kasa- syeva ganDo'sya tatra vAkyam .	16519	2472,a
Kasatila				Kasatila pu0 KasaH KasapUyEva tilati snihyate Sukla- snehatvAt tila — snehe ka . (postA) ahiPenaniryAsake (KasKasa) KyAte vfkze rAjani0 . tasya tElasya Kasa pUyatulyaSuBravarRRatvAttaTAtvam . Kasatila	16520	2472,a
Kasama				Kasama pu0 KaM SUnyaM samaM yasya . budDe trikA0 . tasya sarvasya SUnyaBAvanayA'sTiratvacintarnana jagataHsTiratva- nirAkAraRAt sarvaSUnyatasvIkAreRa tasya taTAtvam .	16521	2472,a
KasamBavA	strI	Ke samBavati sam + BU	ac	KasamBavA strI Ke samBavati sam + BU — ac . AkAsamAMsI vfkze rAjani0 .	16522	2472,a
KasarpaRa				KasarpaRa pu0 KebanDacCedena UrdDvadeSe sarpaRamasya . budDe trikA0 . budDaSabde vivftiH .	16523	2472,a
KasAtsaja				KasAtsaja pu0 KasAyAH kasyapapatnIBedasya AtmajaH . rAkzase trikA0 tasya tatputratvakaTA KasaSabde dfSyA .	16524	2472,a
KasUcin		KaM sUcayati sUca	Rini	KasUcin KaM sUcayati sUca — Rini . praSnavismAraRAya A- kASasya nErmalyAdisUcake nindite vAdini . vEyA karaRaKasUciH si0 kO0 .	16525	2472,a
Kasfma				Kasfma pu0 siMhikAsute asuraBede “ siMhikAyAM samut pannA vipracittisutAstaTA . vyaMSaH SalyaSca balavAn [Page2472-b+ 38] naBaScEva mahAbalaH! . vAtApirnamuciSca va illalaH Kasf- mastaTA . antako nara	16526	2472,a
KasKama				KasKama pu0 KasaprakAraH dvitvam pfzo0 . Kasatile (postA) vfkzaBede rAjani0 .	16527	2472,b
KasKasarasa				KasKasarasa pu0 6 ta0 . ahiPene rAjani0 .	16528	2472,b
KastanI				KastanI strI KamAkASaH stana iva yasyAH . pfTivyAM trikA0	16529	2472,b
KasPAwika				KasPAwika pu0 Kamiva nirmalaHsPAwikaH . 1 sUryyakAntamaRO 2 candrakAntamaRO ca hemaca0 .	16530	2472,b
Kasvastika				Kasvastika na0 KamUrdDordDasTita AkASaH svastikamiva . sama- sUtrapAtena mastakoparisTe AkASaviBAge pramitAkzarA KagolaSabde dfSyam .	16531	2472,b
Kahara				Kahara pu0 KaM SUnyaM haroyatra . vIjagaRitokte SUnyahArake rASiBede . “ asmin vikAraH Kahare na rASAvapi pravizwe- zvapi niHsftezu . bahuzvapi syAllayasfzwikAle'nante'cyute BUta- gaRezu yadvat ” .	16532	2472,b
KA	strI	Kana	karmaRi viw At	KA strI Kana — karmaRi viw At . nadyAm niGa0 Kana — karttari viw At . 2 Kanitari tri0 visaKAH .	16533	2472,b
KAKasa				KAKasa pu0 Kasa + prakAre dvitvam pfzo0 . Kasatile BAvapra0 yadvIjaM (postA) . KasatilaSabde vivftiH .	16534	2472,b
KANgAha	pu0	Ke AkASa'NgamAhanti gatikAle A + hana	qa	KANgAha pu0 Ke AkASa'NgamAhanti gatikAle A + hana — qa . SvetapiNgalASve Sabdaci0 .	16535	2472,b
KAjika				KAjika pu0 Ke UrdDadeSe AjaH! kzepaH tatra sADuH Wan . lAjezu hArA0 . tasya BarjanapAtrAt UrdDadeSe sPowanena taTAtvam	16536	2472,b
KAwa	pu0	Ke UrdDamArge awatyanena awa	karaRe GaY	KAwa pu0 Ke UrdDamArge awatyanena awa — karaRe GaY . SavaraTe SavaharaRaSayyAyAm SabdaratnA0 .	16537	2472,b
KAwi	strI	Kawa	kANkzAyAm bA0 iY	KAwi strI Kawa — kANkzAyAm bA0 iY . 1 kiRe (GewA) 2 asadgrahe 3 SavaraTe ca medi0 . 4 SuzkabraRasTAne ujjva0 . saMjYAyAm kan . KAwikA SavaraTe strI SabdaratnA0 .	16538	2472,b
KAwvABArika				KAwvABArika tri0 KawvABAraM harati vahati Avahati vA WaY . 1 KawvABArahArake 2 tadvAhake 3 tadAvAhake ca . BAraBUtaKawvAhArakAdO KAwika ityeva .	16539	2472,b
KAqava				KAqava na0 BAvaprakASokte cUrRaviSeze yaTA “ kolAmalakajaM- cUrRaM SuRWyelASarkarAnvitam . mAtuluNgarasenAktaM SozitaM sUryyaraSmiBiH . evantu bahuSo'ByaktaM SozitaYca punaH punaH . IzallavaRasaMyukta	16540	2472,b
KARqa				KARqa na0 KaRqasya BAvaH pfTvA0 BAve pakze aR . KaRqamAve KaRqasya vikAraH aR . 2 KaRqavikAre ca .	16541	2473,a
KARqava				KARqava tri0 KARqaM KaRqavikAraM vAti vA0 ka . KaRqa- vikArayukte modakAdO . “ rasAlApUpakAMScitrAn modakAMSca saKARqavAn ” BA0 Anu0 53 a0 . 2 vanaBede . tacca vanaM purA SakrAdyAvAsasTAnaM tacca Citt	16542	2473,a
KARqavaprasTa				KARqavaprasTa pu0 indraprasTe yuDizWiravAsasTAnaBede “ asmABiH KARqavaprasTe yuzmadvAso'BicintitaH ” BA0 A0 61 a0 . indraprasTaSabde tatkaTA dfSyA .	16543	2473,b
KARqavAyana				KARqavAyana pu0 fziBede “ vyaBajata tadA rAjan! praKyAtAH KARqavAyanAH ” BA0 va0 117 a0 .	16544	2473,b
KARqavika				KARqavika pu0 KARqavaM modakAdi Silpamasya WaY . modaka- kArake (mayarA) “ ArAlikAH sUpakArAH ye ca KARqavikAstaTA ” BA0 ASra0 1 a0 .	16545	2473,b
