key	key_stem	linga	vyutpatti	nirvacana	base	chain	pratyaya	qualifier	unadi_ref	sutra_quoted	lnum	page	unadi_ref_project	unadi_match
nAndIvAdI	nAndIvAdI	[n] tri	nAndIM vadatIti . vada + RiniH .	nAndIM vadatIti	vada	vada + RiniH	RiniH				18687	2-861-a		
nApitaH	nApita	puM	na Apnoti saralatAmiti . na + Ap + “ naYyApa iw ca . ” uRAM 3 . 87 . iti tan iw ca .	na Apnoti saralatAmiti	na	na + Ap + naYyApa iw ca .  uRAM 3 . 87 . iti tan iw ca	ca	Ap +  naYyApa iw ca  uRAM 3 87 iti tan iw		naYyApa iw ca .	18688	2-861-a	3.87	
nApitaSAlikA	nApitaSAlikA	strI	nApitasya SAlikA gfham .	nApitasya SAlikA gfham .							18689	2-861-a		
nABiH	nABi	puM	nahyate baDnAti vipakzAdIniti . naha banDe + “ naho BaSca . ” uRAM 4 . 125 . iti iY BaScAntAdeSaH .	nahyate baDnAti vipakzAdIniti	naha banDe	naha banDe + naho BaSca .  uRAM 4 . 125 . iti iY BaScAntAdeSaH	BaScAntAdeSaH	naho BaSca  uRAM 4 125 iti iY		naho BaSca .	18690	2-861-a	4.125	
nABiH	nABi	puM strI	naha banDe + iY BaScAntAdeSaH .		naha banDe	naha banDe + iY BaScAntAdeSaH	BaScAntAdeSaH	iY			18691	2-861-a		
nABikaRwakaH	nABikaRwaka	puM	nABeH kaRwaka iva .	nABeH kaRwaka iva .							18692	2-861-b		
nABikA	nABikA	strI	nABiriva kAyatIti . kE + kaH .	nABiriva kAyatIti	kE	kE + kaH	kaH				18693	2-861-b		
nABiguqakaH	nABiguqaka	puM	nABO guqako golaH .	nABO guqako golaH .							18694	2-861-b		
nABigolakaH	nABigolaka	puM	nABO golakaH .	nABO golakaH .							18695	2-861-b		
nABijaH	nABija	puM	nABO jAyate iti . jan + qaH .	nABO jAyate iti	jan	jan + qaH	qaH				18696	2-861-b		
nABijanmA	nABijanmA	[n] puM	nABO janma yasya .	nABO janma yasya .							18697	2-861-b		
nABinAlA	nABinAlA	strI	nABisTitA nAlA nAqI .	nABisTitA nAlA nAqI .							18698	2-861-b		
nABiBUH	nABiBU	puM	nABO BUrutpattiryasya .	nABO BUrutpattiryasya .							18699	2-861-b		
nABivarzaH	nABivarza	puM	nABeragnIDraputtrasya varzaH .	nABeragnIDraputtrasya varzaH .							18700	2-861-b		
nABI	nABI	strI	nABi + vA NIz .		nABi	nABi + vA NIz	NIz	vA			18701	2-861-b		
nABIlaM	nABIla	klI	nABIM lAtIti . lA + kaH .	nABIM lAtIti	lA	lA + kaH	kaH				18702	2-861-c		
nAByaM	nABya	tri	nABeridamiti . nABi + yat .	nABeridamiti	nABi	nABi + yat	yat				18703	2-861-c		
nAma	nAma	vya	nAmayatIti nAmyate'nena vA . nama + Ric + bAhulakAt qaH .	nAmayatIti nAmyate'nena vA	nama	nama + Ric + bAhulakAt qaH	qaH	Ric + bAhulakAt			18704	2-861-c		
nAma	nAma										18705	2-861-c		
nAmakaraRaM	nAmakaraRa	klI	nAmnaH karaRaM yatra .	nAmnaH karaRaM yatra .							18706	2-861-c		
nAmadvAdaSI	nAmadvAdaSI	strI	nAmnaH dvAdaSI .	nAmnaH dvAdaSI .							18707	2-862-b		
nAmaDeyaM	nAmaDeya	klI	nAmEva . nAma + “ BAgarUpa- nAmaByo DeyaH . ” 5 . 4 . 25 . ityasya vArtti- koktyA DeyaH .	nAmEva	nAma	nAma + BAgarUpa- nAmaByo DeyaH .  5 . 4 . 25 . ityasya vArtti- koktyA DeyaH	DeyaH	BAgarUpa- nAmaByo DeyaH  5 4 25 ityasya vArtti- koktyA		BAgarUpa- nAmaByo DeyaH .	18708	2-862-b		
nAmaSezaH	nAmaSeza	tri	nAmnaH Sezo yasya . nAma AKyA eva Sezo yasyeti vA .	nAmnaH Sezo yasya . nAma AKyA eva Sezo yasyeti vA .							18709	2-862-b		
nAmAparADaH	nAmAparADa	puM	nAmni nAmavizaye aparADaH . nAmnaH sakASAt aparADo vA .	nAmni nAmavizaye aparADaH . nAmnaH sakASAt aparADo vA .							18710	2-862-b		
nAmAparADI	nAmAparADI	[n] tri	nAmAparADo'stya- syeti . iniH .	nAmAparADo'stya- syeti . iniH .							18711	2-863-a		
nAyaH	nAya	puM	nIyate'neneti . nI + “ SriRIBuvo 'nupasarge . ” 3 . 3 . 24 . iti karaRe GaY .	nIyate'neneti	nI	nI + SriRIBuvo 'nupasarge .  3 . 3 . 24 . iti karaRe GaY	GaY	SriRIBuvo 'nupasarge  3 3 24 iti karaRe		SriRIBuvo 'nupasarge .	18712	2-863-a		
nAyakaH	nAyaka	puM	nayati prApayatIti . nI + Rvul .	nayati prApayatIti	nI	nI + Rvul	Rvul				18713	2-863-a		
nAyakADipaH	nAyakADipa	puM	nAyakAnAM netFRAM senApatInAM vA aDipaH .	nAyakAnAM netFRAM senApatInAM vA aDipaH .							18714	2-863-b		
nAyikA	nAyikA	strI	nayati yA . nI + Rvul . wAp ata itvaYca .	nayati yA	nI	nI + Rvul . wAp ata itvaYca	itvaYca	Rvul wAp ata			18715	2-863-c		
nAraM	nAra	klI	narARAM samUhaH . nara + samUhe aR .	narARAM samUhaH	nara	nara + samUhe aR	aR	samUhe			18716	2-864-c		
nAraH	nAra	puM	narasyAyamiti . brara + aR .	narasyAyamiti	brara	brara + aR	aR				18717	2-864-c		
nArakaH	nAraka	puM	naraka eva . prajYAdyaR .	naraka eva . prajYAdyaR .							18718	2-864-c		
nArakI	nArakI	[n] tri	narako BogyatayA astya- syeti . naraka + iniH .	narako BogyatayA astya- syeti	naraka	naraka + iniH	iniH				18719	2-864-c		
nArakIwaH	nArakIwa										18720	2-864-c		
nAraNgaM	nAraNga	klI	nfRAtIti . nF naye + bAhulakAt aNgac DAtorvfdDiSca . ityujjaladattaH . 1 . 121 .	nfRAtIti	nF naye	nF naye + bAhulakAt aNgac DAtorvfdDiSca . ityujjaladattaH . 1 . 121	121	bAhulakAt aNgac DAtorvfdDiSca ityujjaladattaH 1			18721	2-864-c		
nAraNgaH	nAraNga	puM	nF naye + aNgac . vfdDiSca .		nF naye	nF naye + aNgac . vfdDiSca	vfdDiSca	aNgac			18722	2-864-c		
nAradaH	nArada	puM	nAraM paramAtmavizayakaM jYAnaM dadA- tIti . dA + kaH . yadvA, nAraM narasamUhaM dyati KaRqayati kalaheneti . do + kaH . nAraM jalaM dadAti pitfBya iti vA . taduktam, — “ nAraM pAnIyamityuktaM tat pitfByaH sadA BavAn . dadAti tena te nAma nAradeti Bavizyati .. ”	nAraM paramAtmavizayakaM jYAnaM dadA- tIti	dA	dA + kaH . yadvA, nAraM narasamUhaM dyati KaRqayati kalaheneti . do + kaH . nAraM jalaM dadAti pitfBya iti vA . taduktam, —  nAraM pAnIyamityuktaM tat pitfByaH sadA BavAn . dadAti tena te nAma nAradeti Bavizyati	”	kaH yadvA, nAraM narasamUhaM dyati KaRqayati kalaheneti do + kaH nAraM jalaM dadAti pitfBya iti vA taduktam, —  nAraM pAnIyamityuktaM tat pitfByaH sadA BavAn dadAti tena te nAma nAradeti Bavizyati			18723	2-865-a		
nArA	nArA										18724	2-865-b		
nArAcaH	nArAca	puM	nAraM narasamUhaM AcAmatIti . camu adane + “ anyezvapi dfSyate . ” 3 . 2 . 101 . iti qaH .	nAraM narasamUhaM AcAmatIti	camu adane	camu adane + anyezvapi dfSyate .  3 . 2 . 101 . iti qaH	qaH	anyezvapi dfSyate .  3 . 2 . 101		anyezvapi dfSyate .	18725	2-865-b		
nArAcikA	nArAcikA	strI	nArAcastadAkAro'styasyA iti . nArAca + Wan . wAp .	nArAcastadAkAro'styasyA iti	nArAca	nArAca + Wan . wAp	wAp	Wan			18726	2-865-c		
nArAcI	nArAcI	strI	nArAcavadAkftirastyasyA iti . ac . gOrAditvAt NIz .	nArAcavadAkftirastyasyA iti . ac . gOrAditvAt NIz .							18727	2-865-c		
nArAyaRaH	nArAyaRa	puM	nArA jalaM ayanaM sTAnaM yasya . aya gatO + BAve lyuw . sarmve gatyarTAH prAptya- rTASca iti niyamAt nArasya jYAnasya muktervA ayanaM prAptiryasmAt iti vA . “ narARAM samUho nAraM tatrAyanaM sTAnaM yasya nArAyaRaH rePAt paranakArasya RatvaviDAnAt sarvvaprARibudDi- guhAnivAsAcCudDacEtanyamityarTaH . ” iti SaNkara- vijaye navamaprakaraRam .	nArA jalaM ayanaM sTAnaM yasya	aya gatO	aya gatO + BAve lyuw . sarmve gatyarTAH prAptya- rTASca iti niyamAt nArasya jYAnasya muktervA ayanaM prAptiryasmAt iti vA .  narARAM samUho nAraM tatrAyanaM sTAnaM yasya nArAyaRaH rePAt paranakArasya RatvaviDAnAt sarvvaprARibudDi- guhAnivAsAcCudDacEtanyamityarTaH .  iti SaNkara- vijaye navamaprakaraRam	navamaprakaraRam	BAve lyuw sarmve gatyarTAH prAptya- rTASca iti niyamAt nArasya jYAnasya muktervA ayanaM prAptiryasmAt iti vA  narARAM samUho nAraM tatrAyanaM sTAnaM yasya nArAyaRaH rePAt paranakArasya RatvaviDAnAt sarvvaprARibudDi- guhAnivAsAcCudDacEtanyamityarTaH  iti SaNkara- vijaye			18728	2-865-c		
nArAyaRakzetraM	nArAyaRakzetra	klI	nArAyaRasya kzetraM sTAnam .	nArAyaRasya kzetraM sTAnam .							18729	2-866-c		
nArAyaRatElaM	nArAyaRatEla	klI	nArAyaRAKyaM tElam .	nArAyaRAKyaM tElam .							18730	2-867-a		
nArAyaRapriyaH	nArAyaRapriya	puM	nArAyaRasya priyaH . nArAyaRaH priyo yasya iti vA .	nArAyaRasya priyaH . nArAyaRaH priyo yasya iti vA .							18731	2-867-c		
nArAyaRabaliH	nArAyaRabali	puM	nArAyaRAya nArAyaRamuddiSya deyo baliH .	nArAyaRAya nArAyaRamuddiSya deyo baliH .							18732	2-867-c		
nArAyaRAstraM	nArAyaRAstra	klI	nArAyaRasyAstram .	nArAyaRasyAstram .							18733	2-868-a		
nArAyaRI	nArAyaRI	strI	nArAyaRasyeyamiti . nArAyaRa + aR + NIp .	nArAyaRasyeyamiti	nArAyaRa	nArAyaRa + aR + NIp	NIp	aR +			18734	2-868-b		
nArikeraH	nArikera	puM	nArikelaH + lasya raH .		nArikelaH	nArikelaH + lasya raH	raH	lasya			18735	2-868-b		
nArikelaH	nArikela	puM	kila SvEtye krIqane ca + BAve GaY . nAryyA ramaRyAH kela iva suKadAyI kelo yasya . pfzodarAditvAt hrasvaH .		kila SvEtye krIqane ca	kila SvEtye krIqane ca + BAve GaY . nAryyA ramaRyAH kela iva suKadAyI kelo yasya . pfzodarAditvAt hrasvaH	hrasvaH	BAve GaY nAryyA ramaRyAH kela iva suKadAyI kelo yasya pfzodarAditvAt			18736	2-868-b		
nArikelakzIrI	nArikelakzIrI	strI	nArikelodBavA kzIrI .	nArikelodBavA kzIrI .							18737	2-868-c		
nArI	nArI	strI	nurnarasya vA DarmmyA . nf + “ fto- 'Y . ” 4 . 4 . 49 . iti aY . nara + “ narA- cceti vaktavyam . ” iti vArttikoktyA aY . “ SArNgaravAdyaYo NIn . ” 4 . 1 . 73 . iti NIn .	nurnarasya vA DarmmyA	nf	nf + fto- 'Y .  4 . 4 . 49 . iti aY . nara + narA- cceti vaktavyam .  iti vArttikoktyA aY .  SArNgaravAdyaYo NIn .  4 . 1 . 73 . iti NIn	NIn	fto- 'Y .  4 . 4 . 49 . iti aY . nara +  narA- cceti vaktavyam .  iti vArttikoktyA aY .  SArNgaravAdyaYo NIn .  4 . 1 . 73		fto- 'Y .	18738	2-868-c		
nArIkavacaH	nArIkavaca	puM	nAryyaH kavacaH sannAha iva yasya .	nAryyaH kavacaH sannAha iva yasya .							18739	2-870-a		
nArIkelaH	nArIkela	puM	kila krIqane + BAve GaY . nAryyA kela iva kelo sammodo yatra .		kila krIqane	kila krIqane + BAve GaY . nAryyA kela iva kelo sammodo yatra	yatra	BAve GaY nAryyA kela iva kelo sammodo			18740	2-870-a		
nArIkelI	nArIkelI	strI	nArIkela + gOrAditvAt NIz .		nArIkela	nArIkela + gOrAditvAt NIz	NIz	gOrAditvAt			18741	2-870-a		
nArIcaM	nArIca	klI	nAqIca + qasya ratvam .		nAqIca	nAqIca + qasya ratvam	ratvam	qasya			18742	2-870-a		
nArItaraNgakaH	nArItaraNgaka	puM	nArIM taraNgayati caYcalacittAM karotIti . taraNga + kftO Ric + Rvul .	nArIM taraNgayati caYcalacittAM karotIti	taraNga	taraNga + kftO Ric + Rvul	Rvul	kftO Ric +			18743	2-870-a		
nArIdUzaRaM	nArIdUzaRa	klI	nArIRAM dUzaRam .	nArIRAM dUzaRam .							18744	2-870-a		
nArIzwA	nArIzwA	strI	nArIRAM izwA priyA .	nArIRAM izwA priyA .							18745	2-870-a		
nAryyaNgaH	nAryyaNga	puM	nArIRAmaNgamiva SoBanaM aNgaM yasya .	nArIRAmaNgamiva SoBanaM aNgaM yasya .							18746	2-870-b		
nAlaM	nAla	klI	nalatIti . nala banDe + “ jvaliti- kasanteByo RaH . ” 3 . 1 . 140 . iti RaH .	nalatIti	nala banDe	nala banDe + jvaliti- kasanteByo RaH .  3 . 1 . 140 . iti RaH	RaH	jvaliti- kasanteByo RaH .  3 . 1 . 140		jvaliti- kasanteByo RaH .	18747	2-870-b		
nAlavaMSaH	nAlavaMSa	puM	nAlo vaMSa iva .	nAlo vaMSa iva .							18748	2-870-b		
nAlA	nAlA	strI	nala banDe + RaH . tatazwAp .		nala banDe	nala banDe + RaH . tatazwAp	tatazwAp	RaH			18749	2-870-b		
nAliH	nAli	strI	nAlayatIti . nala + Ric + in .	nAlayatIti	nala	nala + Ric + in	in	Ric +			18750	2-870-b		
nAlikaH	nAlika	puM	nala eva nAlastfRaviSezaH . sa BoktavyatvenAstyasyeti Wan .	nala eva nAlastfRaviSezaH . sa BoktavyatvenAstyasyeti Wan .							18751	2-870-b		
nAlikA	nAlikA	strI	nAlA eva . svArTe kan . wApi ata itvam .	nAlA eva . svArTe kan . wApi ata itvam .							18752	2-870-c		
nAlikeraH	nAlikera	puM	nArikelaH . ralayorEkyAt rasya laH . lasya raSca .	nArikelaH . ralayorEkyAt rasya laH . lasya raSca .							18753	2-870-c		
nAlijaNGaH	nAlijaNGa										18754	2-870-c		
nAlitA	nAlitA	strI	nAlamitA prAptA .	nAlamitA prAptA .							18755	2-870-c		
nAlI	nAlI	strI	nAli + vA NIz .		nAli	nAli + vA NIz	NIz	vA			18756	2-870-c		
nAlIkaH	nAlIka	puM	nAlyA nalayantrAt kAyati SabdAyate iti . kE + kaH . GoraSabdena nirgamanAdevAsya taTAtvam .	nAlyA nalayantrAt kAyati SabdAyate iti	kE	kE + kaH . GoraSabdena nirgamanAdevAsya taTAtvam	taTAtvam	kaH GoraSabdena nirgamanAdevAsya			18757	2-870-c		
nAlIkinI	nAlIkinI	strI	nAlIkamastyasyA iti . nAlIka + iniH . NIp .	nAlIkamastyasyA iti	nAlIka	nAlIka + iniH . NIp	NIp	iniH			18758	2-871-a		
nAlIvraRaH	nAlIvraRa	puM	nAlIgato vraRaH .	nAlIgato vraRaH .							18759	2-871-a		
nAvikaH	nAvika	puM	nAvA taratIti . nO + “ nOdvyaca- zWan . ” 4 . 4 . 7 . iti Wan . nOrastyasyeti . “ vrIhyAdiByaSca . ” 5 . 2 . 116 . iti Wan vA .	nAvA taratIti	nO	nO + nOdvyaca- zWan .  4 . 4 . 7 . iti Wan . nOrastyasyeti .  vrIhyAdiByaSca .  5 . 2 . 116 . iti Wan vA	vA	nOdvyaca- zWan  4 4 7 iti Wan nOrastyasyeti  vrIhyAdiByaSca  5 2 116 iti Wan		nOdvyaca- zWan .	18760	2-871-a		
nAvyaM	nAvya	tri	nAvA tAryyam . nO + “ nOvayo- Darmmeti . ” 4 . 4 . 91 . iti yat .	nAvA tAryyam	nO	nO + nOvayo- Darmmeti .  4 . 4 . 91 . iti yat	yat	nOvayo- Darmmeti .  4 . 4 . 91		nOvayo- Darmmeti .	18761	2-871-a		
nASaH	nASa	puM	naSa + BAve GaY .		naSa	naSa + BAve GaY	GaY	BAve			18762	2-871-a		
nASI	nASI	[n] tri	nASo'styasyeti . nASa + iniH .	nASo'styasyeti	nASa	nASa + iniH	iniH				18763	2-871-b		
nAsatyO	nAsatyO	puM	nAsti asatyaM yayostO . “ naBrAR- napAditi . ” 6 . 3 . 75 . iti naYaH prakfti- BAvaH .	nAsti asatyaM yayostO . “ naBrAR- napAditi . ” 6 . 3 . 75 . iti naYaH prakfti- BAvaH .						naBrAR- napAditi .	18764	2-871-b		
nAsA	nAsA	strI	nAsate SabdAyate iti . nAsa Sabde + “ guroSca halaH . ” 3 . 3 . 103 . iti aH . tatazwAp . nAsyate'nayeti . nAsa + karaRe GaY vA .	nAsate SabdAyate iti	nAsa Sabde	nAsa Sabde + guroSca halaH .  3 . 3 . 103 . iti aH . tatazwAp . nAsyate'nayeti . nAsa + karaRe GaY vA	vA	guroSca halaH  3 3 103 iti aH tatazwAp nAsyate'nayeti nAsa + karaRe GaY		guroSca halaH .	18765	2-871-b		
nAsAcCinnI	nAsAcCinnI	strI	Cida + BAve ktaH . nAsAyAM CinnaM Cedo yasyAH . NIz .		Cida	Cida + BAve ktaH . nAsAyAM CinnaM Cedo yasyAH . NIz	NIz	BAve ktaH nAsAyAM CinnaM Cedo yasyAH			18766	2-871-b		
nAsAdAru	nAsAdAru	klI	nAsAyE yaddAru . nAsEva dAru iti vA .	nAsAyE yaddAru . nAsEva dAru iti vA .							18767	2-871-b		
nAsArogaH	nAsAroga	puM	nAsAyA rogaH .	nAsAyA rogaH .							18768	2-871-b		
nAsAluH	nAsAlu	puM	nAsAyE alatIti . ala + uR .	nAsAyE alatIti	ala	ala + uR	uR				18769	2-873-c		
nAsAsaMvedanaH	nAsAsaMvedana	puM	saMvidyate'neneti . saM + vid + lyuw . nAsAyAH saMvedanaH pIqAdAyakaH .	saMvidyate'neneti	saM	saM + vid + lyuw . nAsAyAH saMvedanaH pIqAdAyakaH	pIqAdAyakaH	vid + lyuw nAsAyAH saMvedanaH			18770	2-873-c		
nAsikanDamaH	nAsikanDama	tri	nAsikAM Damati SabdAyamAnAM karotIti . nAsikA + DmA + “ nAsikA- stanayorDmADewoH . ” 3 . 2 . 29 . iti KaS . “ Kityanavyayasya . ” 6 . 3 . 66 . iti pUrvva- padasya hrasvaH . tato mum .	nAsikAM Damati SabdAyamAnAM karotIti	nAsikA	nAsikA + DmA + nAsikA- stanayorDmADewoH .  3 . 2 . 29 . iti KaS .  Kityanavyayasya .  6 . 3 . 66 . iti pUrvva- padasya hrasvaH . tato mum	mum	DmA +  nAsikA- stanayorDmADewoH  3 2 29 iti KaS  Kityanavyayasya  6 3 66 iti pUrvva- padasya hrasvaH tato		nAsikA- stanayorDmADewoH .	18771	2-873-c		
nAsikanDayaH	nAsikanDaya	tri	nAsikAM nAsAsTajalaM Dayati pibatIti . nAsikA + De wa pAne + “ nAsikA- stanayorDmADewoH . ” 3 . 2 . 29 . iti KaS . tato pUrvvapadasya hrasvastato mum ca .	nAsikAM nAsAsTajalaM Dayati pibatIti	nAsikA	nAsikA + De wa pAne + nAsikA- stanayorDmADewoH .  3 . 2 . 29 . iti KaS . tato pUrvvapadasya hrasvastato mum ca	ca	De wa pAne +  nAsikA- stanayorDmADewoH  3 2 29 iti KaS tato pUrvvapadasya hrasvastato mum		nAsikA- stanayorDmADewoH .	18772	2-873-c		
nAsikA	nAsikA	strI	nAsate SabdAyate iti . nAsa Sabde + “ RvultfcO . ” 3 . 1 . 133 . iti Rvul . wApi ata itvam .	nAsate SabdAyate iti	nAsa Sabde	nAsa Sabde + RvultfcO .  3 . 1 . 133 . iti Rvul . wApi ata itvam	itvam	RvultfcO  3 1 133 iti Rvul wApi ata		RvultfcO .	18773	2-873-c		
nAsikAmalaM	nAsikAmala	klI	nAsikAyA malam .	nAsikAyA malam .							18774	2-873-c		
nAsikyaM	nAsikya	klI	nAsikA eva . nAsikA + svArTe zyaY .	nAsikA eva	nAsikA	nAsikA + svArTe zyaY	zyaY	svArTe			18775	2-873-c		
nAsikyakaM	nAsikyaka	klI	nAsikyameva . nAsikya + svArTe kan .	nAsikyameva	nAsikya	nAsikya + svArTe kan	kan	svArTe			18776	2-874-a		
nAsikyO	nAsikyO	puM	nAsikAyAM BavO . nAsikA + “ SarIrAvayavAt yat . ” 5 . 1 . 6 . iti yat .	nAsikAyAM BavO	nAsikA	nAsikA + SarIrAvayavAt yat .  5 . 1 . 6 . iti yat	yat	SarIrAvayavAt yat .  5 . 1 . 6		SarIrAvayavAt yat .	18777	2-874-a		
nAsIraM	nAsIra	klI	nAs Sabde + BAve kvip . nAsA Sabdena Irtte gacCatIti . Ira gatO + kaH . jayaSabdAdyuccAraRena gamanAdevAsya taTAtvam .		nAs Sabde	nAs Sabde + BAve kvip . nAsA Sabdena Irtte gacCatIti . Ira gatO + kaH . jayaSabdAdyuccAraRena gamanAdevAsya taTAtvam	taTAtvam	BAve kvip nAsA Sabdena Irtte gacCatIti Ira gatO + kaH jayaSabdAdyuccAraRena gamanAdevAsya			18778	2-874-a		
nAsti	nAsti										18779	2-874-a		
nAstikaH	nAstika	puM	nAsti paraloka ISvaro veti mati- ryasya . “ astinAstidizwaM matiH . ” 4 . 4 . 60 . iti Wak . yadbA, nAsti paraloko yajYAdiPalaM ISvaro vetyAdivAkyena kAyati SabdAyate iti . kE Sabde + qaH .	nAsti paraloka ISvaro veti mati- ryasya . “ astinAstidizwaM matiH . ” 4 . 4 . 60 . iti Wak . yadbA, nAsti paraloko yajYAdiPalaM ISvaro vetyAdivAkyena kAyati SabdAyate iti	kE Sabde	kE Sabde + qaH	qaH			astinAstidizwaM matiH .	18780	2-874-a		
nAstikatA	nAstikatA	strI	nAstikasya BAvaH . nAstika + tal .	nAstikasya BAvaH	nAstika	nAstika + tal	tal				18781	2-874-a		
nAstidaH	nAstida										18782	2-874-b		
nAsyaM	nAsya										18783	2-874-b		
nAhaH	nAha	puM	naha banDane + BAve GaY .		naha banDane	naha banDane + BAve GaY	GaY	BAve			18784	2-874-b		
nAhalaH	nAhala	puM	nAhaM parvvataSiKarAdikaM lAti ASrayatvana gfhRAtIti . lA + kaH .	nAhaM parvvataSiKarAdikaM lAti ASrayatvana gfhRAtIti	lA	lA + kaH	kaH				18785	2-874-b		
nAhuziH	nAhuzi	puM	nahuzasya apatyaM pumAniti . nahuza + “ ata iY . ” 4 . 1 . 95 . iti iY .	nahuzasya apatyaM pumAniti	nahuza	nahuza + ata iY .  4 . 1 . 95 . iti iY	iY	ata iY .  4 . 1 . 95		ata iY .	18786	2-874-b		
ni	ni										18787	2-874-b		
niH	ni	[r] vya	nfRAtIti . nF naye + kvip . “ fta idDAtoH . ” 7 . 1 . 100 . iti DAto- raNgasya it .	nfRAtIti	nF naye	nF naye + kvip .  fta idDAtoH .  7 . 1 . 100 . iti DAto- raNgasya it	it	kvip  fta idDAtoH  7 1 100 iti DAto- raNgasya		fta idDAtoH .	18788	2-874-b		
niH	ni										18789	2-874-b		
niHkAsitaH	niHkAsita	tri	nir vA nis + kas + Ric + ktaH .		nir vA nis	nir vA nis + kas + Ric + ktaH	ktaH	kas + Ric +			18790	2-874-b		
niHkrAmitaH	niHkrAmita	tri	nir vA nis + krama + Ric + ktaH .		nir vA nis	nir vA nis + krama + Ric + ktaH	ktaH	krama + Ric +			18791	2-874-b		
niHkzattraH	niHkzattra	tri	nirnAsti kzattraH kzattriyo yatra .	nirnAsti kzattraH kzattriyo yatra .							18792	2-874-b		
niHpraBaH	niHpraBa										18793	2-874-b		
niHSabdaH	niHSabda	tri	nirgataH Sabdo yasmAt .	nirgataH Sabdo yasmAt .							18794	2-874-c		
niHSalAkaH	niHSalAka	tri	nirgatA SalAkA yasmAt SalA- kAyA nirgato vA .	nirgatA SalAkA yasmAt SalA- kAyA nirgato vA .							18795	2-874-c		
niHSalyA	niHSalyA	strI	nirgataM SalyaM yasyAH .	nirgataM SalyaM yasyAH .							18796	2-874-c		
niHSUkaH	niHSUka	puM	nirnAsti SUko yasya .	nirnAsti SUko yasya .							18797	2-874-c		
niHSezaM	niHSeza	tri	nirgataH Sezo yasmAt .	nirgataH Sezo yasmAt .							18798	2-874-c		
niHSoDyaM	niHSoDya	tri	nirgataM SoDyaM yasmAt . SoDyA- nnirgatamiti vA . nirAdaya iti samAsaH .	nirgataM SoDyaM yasmAt . SoDyA- nnirgatamiti vA . nirAdaya iti samAsaH .							18799	2-874-c		
niHSrayaRI	niHSrayaRI	strI	nirniScitaM SrIyate ASrIyate 'nayeti . Sri + karaRe lyuw . wittvAt NIp .	nirniScitaM SrIyate ASrIyate 'nayeti	Sri	Sri + karaRe lyuw . wittvAt NIp	NIp	karaRe lyuw wittvAt			18800	2-874-c		
niHSrayiRI	niHSrayiRI	strI	niHSrayati ASrayati prANga- nAdisTAnamiti . Sri + Rini + NIp .	niHSrayati ASrayati prANga- nAdisTAnamiti	Sri	Sri + Rini + NIp	NIp	Rini +			18801	2-874-c		
niHSreRiH	niHSreRi	strI	nirniScitA SreRiH sopAna- paNktiH yatra .	nirniScitA SreRiH sopAna- paNktiH yatra .							18802	2-874-c		
niHSreRikA	niHSreRikA	strI	niHSreRiriva kAyatIti . kE + kaH . wAp .	niHSreRiriva kAyatIti	kE	kE + kaH . wAp	wAp	kaH			18803	2-874-c		
niHSreRI	niHSreRI	strI	niHSreRi + kfdikArAditi vA NIz .		niHSreRi	niHSreRi + kfdikArAditi vA NIz	NIz	kfdikArAditi vA			18804	2-874-c		
niHSreyasaM	niHSreyasa	klI	nirniScitaM SreyaH . “ acatura- vicatureti . ” 5 . 4 . 77 . iti nipAtanAt sADuH .	nirniScitaM SreyaH . “ acatura- vicatureti . ” 5 . 4 . 77 . iti nipAtanAt sADuH .						acatura- vicatureti .	18805	2-875-a		
niHSreyasaH	niHSreyasa	puM	nirniScitaM Sreyo maNgalaM yasmAt .	nirniScitaM Sreyo maNgalaM yasmAt .							18806	2-875-a		
niHzamaM	niHzama	vya	nirgataM samaM yatra . “ tizWadgupraBf- tIni ca . ” 2 . 1 . 17 . ityavyayIBAvatvam . suvinirdurByaH iti zatvam .	nirgataM samaM yatra . “ tizWadgupraBf- tIni ca . ” 2 . 1 . 17 . ityavyayIBAvatvam . suvinirdurByaH iti zatvam .						tizWadgupraBf- tIni ca .	18807	2-875-a		
niHsaNgaH	niHsaNga	tri	nirnAsti saNgo yatra .	nirnAsti saNgo yatra .							18808	2-875-a		
niHsanDiH	niHsanDi	tri	nirnAsti sanDiryatra .	nirnAsti sanDiryatra .							18809	2-875-a		
niHsampAtaH	niHsampAta	puM	nirnAsti sampAto gamanAgamanaM yatra .	nirnAsti sampAto gamanAgamanaM yatra .							18810	2-875-a		
niHsaraRaM	niHsaraRa	klI	nir + sf + lyuw .		nir	nir + sf + lyuw	lyuw	sf +			18811	2-875-a		
niHsAraH	niHsAra	puM	nirgataH sAro yasmAt .	nirgataH sAro yasmAt .							18812	2-875-a		
niHsAraRaM	niHsAraRa	klI	nir + sf + Ric + BAve lyuw .		nir	nir + sf + Ric + BAve lyuw	lyuw	sf + Ric + BAve			18813	2-875-b		
niHsArA	niHsArA	strI	nirnAsti sAro yasyAH .	nirnAsti sAro yasyAH .							18814	2-875-b		
niHsAritaH	niHsArita	tri	nir + sf + Ric + karmmaRi ktaH .		nir	nir + sf + Ric + karmmaRi ktaH	ktaH	sf + Ric + karmmaRi			18815	2-875-b		
niHsnehaH	niHsneha	tri	nirnAsti sneho yasya .	nirnAsti sneho yasya .							18816	2-875-b		
niHsnehA	niHsnehA	strI	nirgataH snehaH raso yasyAH .	nirgataH snehaH raso yasyAH .							18817	2-875-b		
