key	key_stem	linga	vyutpatti	nirvacana	base	chain	pratyaya	qualifier	unadi_ref	sutra_quoted	lnum	page	unadi_ref_project	unadi_match
akEtavaM	akEtava	klI	na kEtavam . naYsamAsaH .	na kEtavam . naYsamAsaH .							85	1-004-a		
akowaH	akowa	puM	na + kuwa + BAve GaY .		na	na + kuwa + BAve GaY	GaY	kuwa + BAve			86	1-004-a		
akovidaH	akovida	tri	na kovidaH . naYsamAsaH .	na kovidaH . naYsamAsaH .							87	1-004-a		
akOwilyaM	akOwilya	klI	na + kOwilyaM . naY samAsaH .		na	na + kOwilyaM . naY samAsaH	samAsaH	kOwilyaM naY			88	1-004-a		
akkA	akkA	strI	akaM duHKaM kAyati gfhRAti iti kE Sabde .	akaM duHKaM kAyati gfhRAti iti kE Sabde .							89	1-004-a		
aktaH	akta	tri	aYcergatO ktaH . aktaparimARasya vAcaka iti BAzyasya kEyawena taTA vyAKyAta- tvAt . anakti ajyate vA . aYjU vyaktyAdO . aYjiGfsiByaH ktaH iti ORAdikaH ktaH .	aYcergatO ktaH . aktaparimARasya vAcaka iti BAzyasya kEyawena taTA vyAKyAta- tvAt . anakti ajyate vA . aYjU vyaktyAdO . aYjiGfsiByaH ktaH iti ORAdikaH ktaH .							90	1-004-a		
aktuH	aktu										91	1-004-a		
akravyAdaH	akravyAda	tri	na krazyAdaH . naYsamAsaH .	na krazyAdaH . naYsamAsaH .							92	1-004-a		
akramaH	akrama	tri	na kramaH . naY samAsaH . nAsti kramo yasya iti vA .	na kramaH . naY samAsaH . nAsti kramo yasya iti vA .							93	1-004-b		
akrAntA	akrAntA	strI	na + kram + kta + Ap .		na	na + kram + kta + Ap	Ap	kram + kta +			94	1-004-b		
akriyaH	akriya	tri	nAsti kriyA yasya . apraSastA vA kriyA yasya .	nAsti kriyA yasya . apraSastA vA kriyA yasya .							95	1-004-b		
akrUraH	akrUra	puM	krOryyavAn krUraH, sa na Bavati iti akrUraH . yadvA krUra iti BAvapraDAno nirdderSaH . na vidyate krOyyam iti akrUraH .	krOryyavAn krUraH, sa na Bavati iti akrUraH . yadvA krUra iti BAvapraDAno nirdderSaH . na vidyate krOyyam iti akrUraH .							96	1-004-b		
akroDaH	akroDa	puM	na kroDa iti naY samAsaH . nAsti kroDo yasya iti vA .	na kroDa iti naY samAsaH . nAsti kroDo yasya iti vA .							97	1-004-b		
aklAntaH	aklAnta	tri	na + klam + kta . na klAnta iti naYsamAsaH .		na	na + klam + kta . na klAnta iti naYsamAsaH	naYsamAsaH	klam + kta . na klAnta			98	1-004-b		
aklikA	aklikA										99	1-004-b		
aklizwakarmmA	aklizwakarmmA	[n] tri	aklizwam anAyAsasADyaM karmma yasya . bahubrIhiH .	aklizwam anAyAsasADyaM karmma yasya . bahubrIhiH .							100	1-004-b		
akleSaM	akleSa	klI	na kleSa iti naY samAsaH .	na kleSa iti naY samAsaH .							101	1-004-b		
akleSaH	akleSa	tri	nAsti kleSo yasya iti bahubrIhiH .	nAsti kleSo yasya iti bahubrIhiH .							102	1-004-c		
akza	akza										103	1-004-c		
akza	akza										104	1-004-c		
akzaM	akza	klI	akzRoti akzati vA akzyate vA anena atra vA akzU vyAptO . pacAdyac GaY vA . a- Snute atyarTaM aSU vyAptO . aSerdevane iti so vA .	akzRoti akzati vA akzyate vA anena atra vA akzU vyAptO . pacAdyac GaY vA . a- Snute atyarTaM aSU vyAptO . aSerdevane iti so vA .							105	1-004-c		
akzaH	akza										106	1-004-c		
akzakaH	akzaka	puM	akza + ka		akza	akza + ka	ka				107	1-004-c		
akzakrIqA	akzakrIqA	strI	akzEH yA krIqA	akzEH yA krIqA							108	1-005-a		
akzajaH	akzaja										109	1-005-a		
akzataM	akzata	klI	kzaRu hiMsAyAM . napuMsake BAvektaH . anudAttopadeSetyAdinA RalopaH .	kzaRu hiMsAyAM . napuMsake BAvektaH . anudAttopadeSetyAdinA RalopaH .							110	1-005-a		
akzataH	akzata	tri	na + kzaR + kta		na	na + kzaR + kta	kta	kzaR +			111	1-005-a		
akzataH	akzata										112	1-005-a		
akzatA	akzatA										113	1-005-a		
akzadarSakaH	akzadarSaka	puM	akzARAM vyavahArARAM darSakaH . akza + dfS + Rvul .	akzARAM vyavahArARAM darSakaH	akza	akza + dfS + Rvul	Rvul	dfS +			114	1-005-a		
akzadfk	akzadfk										115	1-005-b		
akzadevI	akzadevI										116	1-005-b		
akzadya	akzadya	puM	akzErdIvyati . divu krIqAdO . akza + div + kvip + Uw .	akzErdIvyati . divu krIqAdO	akza	akza + div + kvip + Uw	Uw	div + kvip +			117	1-005-b		
akzaDaraH	akzaDara										118	1-005-b		
akzaDUrttaH	akzaDUrtta										119	1-005-b		
akzaDUrttila	akzaDUrttila										120	1-005-b		
akzapAwakaH	akzapAwaka										121	1-005-b		
akzapAdaH	akzapAda										122	1-005-b		
akzapIqA	akzapIqA										123	1-005-b		
akzamaH	akzama										124	1-005-b		
akzamA	akzamA										125	1-005-b		
akzamAlA	akzamAlA										126	1-005-b		
akzayaH	akzaya										127	1-005-b		
akzayatftIyA	akzayatftIyA										128	1-005-c		
akzayA	akzayA										129	1-005-c		
akzaraH	akzara										130	1-005-c		
akzaraM	akzara										131	1-005-c		
akzaraH	akzara										132	1-006-a		
akzaracaYcaH	akzaracaYca										133	1-006-a		
akzaracaRaH	akzaracaRa										134	1-006-a		
akzaracuYcuH	akzaracuYcu										135	1-006-a		
akzarajananI	akzarajananI										136	1-006-a		
akzarajIvakaH	akzarajIvaka										137	1-006-a		
akzarajIvikaH	akzarajIvika										138	1-006-a		
akzaratUlikA	akzaratUlikA										139	1-006-a		
akzaravinyAsaH	akzaravinyAsa										140	1-006-a		
akzaramuKaH	akzaramuKa										141	1-006-a		
akzarasaMsTAnaM	akzarasaMsTAna										142	1-006-a		
akzavatI	akzavatI										143	1-006-a		
akzavAwaH	akzavAwa										144	1-006-b		
akzavit	akzavit										145	1-006-b		
akzasUtraM	akzasUtra										146	1-006-b		
akzAgrakIlakaH	akzAgrakIlaka										147	1-006-b		
akzAntiH	akzAnti										148	1-006-b		
akzAralavaRaM	akzAralavaRa										149	1-006-b		
akzi	akzi										150	1-006-b		
akzikaH	akzika										151	1-006-b		
akzikUwakaH	akzikUwaka										152	1-006-b		
akzigataH	akzigata										153	1-006-b		
akziBezajaH	akziBezaja										154	1-006-b		
akzivaH	akziva										155	1-006-b		
akzivikURitaM	akzivikURita										156	1-006-b		
akzIkaH	akzIka										157	1-006-b		
akzIvaM	akzIva										158	1-006-c		
akzIbaH	akzIba										159	1-006-c		
akzIbaH	akzIba										160	1-006-c		
akzuRRaH	akzuRRa										161	1-006-c		
akzubDaH	akzubDa										162	1-006-c		
akzemaM	akzema										163	1-006-c		
akzowaH	akzowa										164	1-006-c		
akzoqaH	akzoqa										165	1-006-c		
akzoqakaH	akzoqaka										166	1-006-c		
akzoBaH	akzoBa										167	1-006-c		
akzOriBaM	akzOriBa										168	1-006-c		
akzOhiRI	akzOhiRI										169	1-006-c		
akzRaM	akzRa										170	1-007-a		
aKawwaH	aKawwa										171	1-007-a		
aKawwiH	aKawwi										172	1-007-a		
aKaRqaH	aKaRqa	tri	na KaRqyate iti . Kaqi Bedane GaY . nAsti KaRqo yasya iti vA .	na KaRqyate iti . Kaqi Bedane GaY . nAsti KaRqo yasya iti vA .							173	1-007-a		
aKaRqanaH	aKaRqana	puM	nAsti KaRqanaM vicCedo yasya saH .	nAsti KaRqanaM vicCedo yasya saH .							174	1-007-a		
aKaRqitarttuH	aKaRqitarttu	tri	na KaRqitaH fturasya iti . bahubrohiH .	na KaRqitaH fturasya iti . bahubrohiH .							175	1-007-a		
aKAtaM	aKAta										176	1-007-a		
aKAdyaM	aKAdya	tri	na KAdyaM . apraSastaM virudDaM vA KAdyam .	na KAdyaM . apraSastaM virudDaM vA KAdyam .							177	1-007-a		
aKilaM	aKila	tri	na Kilam asya . na + Kila .	na Kilam asya	na	na + Kila	Kila				178	1-007-b		
aKyAtaH	aKyAta	tri	na KyAtaH virudDArTe vA naY .	na KyAtaH virudDArTe vA naY .							179	1-007-b		
aga	aga										180	1-007-b		
