key	lnum	page	text
dEteya	36	0002	dEteya; asurA dAnavA dEtyA dEteyAH suraSatravaH . pUrvadevAH SukraSizyAH pAtAlanilayAH smftAH .. 5 .. 1.1.1.5
suraSatru	37	0002	suraSatru; asurA dAnavA dEtyA dEteyAH suraSatravaH . pUrvadevAH SukraSizyAH pAtAlanilayAH smftAH .. 5 .. 1.1.1.5
pUrvadeva	38	0002	pUrvadeva; asurA dAnavA dEtyA dEteyAH suraSatravaH . pUrvadevAH SukraSizyAH pAtAlanilayAH smftAH .. 5 .. 1.1.1.5
SukraSizya	39	0002	SukraSizya; asurA dAnavA dEtyA dEteyAH suraSatravaH . pUrvadevAH SukraSizyAH pAtAlanilayAH smftAH .. 5 .. 1.1.1.5
pAtAlanilaya	40	0002	pAtAlanilaya; asurA dAnavA dEtyA dEteyAH suraSatravaH . pUrvadevAH SukraSizyAH pAtAlanilayAH smftAH .. 5 .. 1.1.1.5
brahman	41	0002	brahman; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
srazwf	42	0002	srazwf; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
paramezWin	43	0002	paramezWin; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
DAtf	44	0002	DAtf; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
padmaBU	45	0002	padmaBU; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
surajyezWa	46	0002	surajyezWa; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
veDas	47	0002	veDas; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
viDi	48	0002	viDi; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
viriYca	49	0002	viriYca; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
hiraRyagarBa	50	0002	hiraRyagarBa; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
